item,type,background,action,outcome,accidental,intentional
11,"Physical harm","You are at lunch during school. A classmate approaches you and asks you to show him some moves you learned recently in your martial arts class.","You tell him to stand back. You get ready and perform the martial arts kick.","Your classmate is standing too close, and you end up kicking him in the face.","You could not see that your classmate was standing too close, so you kicked.","You could see that your classmate was standing too close, but you kicked anyway."
12,"Physical harm","Your family is over for dinner. You're taking cooking classes and wish to show off your culinary skills. For one of the dishes, adding peanuts will really bring out the flavor.","You grind up some peanuts, add them to that dish, and serve everyone.","Your cousin, one of your dinner guests, is severaly allergic to peanuts.","You had absolutely no idea about your cousin's allergy when you added the peanuts.","You knew about your cousins's peanut allergy when you added the peanuts to the dish."
13,"Psychological harm","You are at a dinner party with friends when there is a lull in the conversation. You just heard a joke about a boy and his puppy that could liven things up.","You have everyone's attention, so you proceed to tell the joke.","Your friend's puppy was just hit by a car, and she is very upset by your joke.","You did not hear your friend's puppy died until after you told the joke.","You had just heard your friend's puppy died before you told the joke."
14,"Psychological harm","You and another classmate are about to give a formal presentation to many important faculty members. Your classmate is especially anxious about making a good impression.","The two of you take a deep breath and begin the presentation.","Someone in the audience points to your classmate's open fly, mortifying him.","You did not notice his open fly before that and could not have warned him.","You did notice his open fly before the presentation and could have warned him."
15,"Psychological harm","Your friend is a marine and was recently shipped to Iraq. You are watching the news when his name comes up as someone who has died in a recent bombing.","You rush over to your friend's parents to say you're sorry about their son's death.","The young man who died is not actually their son, just someone with the same name.","On the news, there had been no picture with the name, so you didn't realize it wasn't him.","On the news, there had been a picture with the name, so you realized it was not him."
16,"Psychological harm","Your sister is babysitting, and you go visit to go over to see what's up. When you get to the house, you find the baby but not your sister, who is in the basement fixing the fuse.","You take the baby home with you without telling your sister.","When your sister cannot find the baby, she panics and calls.","You thought your sister left, and you were doing her a favor by taking the baby.","You knew your sister had not left, and that she would panic if you took the baby."
17,"Psychological harm","You are sitting in math class on the first day of high school. As an introduction, the teacher asks everyone in class for an entertaining anecdote or a joke.","You decide to tell a joke. It is a joke about an elf and a midget.","A new student in your class happens to be a midget. He is hurt by your joke.","This student's sitting far behind you. You didn't realize he was in your class.","This student's sitting right in front of you. You realized he was in your class."
18,"Psychological harm","You are sitting in class without much to do. You notice a note of some kind sitting on the floor next to your desk.","You show the note to the girl behind you.","It is a poem written by your close friend about this girl, his secret crush.","The poem was not signed, so you really did not think your friend wrote it.","The poem is in your friend's writing, so you knew your friend wrote it."
19,"Psychological harm","You are taking a class on Shakespeare. On the very first day, the teacher asks for volunteers to deliver a monologue in front of the class.","You volunteer a classmate who is in the bathroom at the time.","When she returns, she has to perform for everyone. She is terrified of public speaking.","You just met this classmate and did not realize she has this fear.","You know this classmate from before and realized she has this fear."
20,"Psychological harm","You are in English class, prepping for the AP test at the end of the year. Your teacher passes out a sample essay that you are to discuss openly and honestly.","You suggest the essay must have been written by a third-grader.","The student who wrote the essay is in your class listening to your critique.","The essay was typed, so you completely didn't realize who had written it.","The essay was handwritten, so you realized right away who had written it."
21,"Psychological harm","You are at an ice skating rink with a large group of friends. One of your friends shows up in an ugly, frumpy looking sweater that his grandmother gave to him.","You make a joke about how his grandmother has terrible taste in sweaters.","His grandmother died very recently, and he is still very sad.","You hadn't heard anything about his grandmother passing away.","You had heard from someone that his grandmother passed away."
22,"Psychological harm","It's your little brother's birthday, and you are in charge of the surprise birthday party. You make your brother's party circus themed.","You dress up like a clown and jump out yelling 'Surprise' when he arrives.","Your little brother has an extreme phobia of clowns. He starts shaking.","You had never been to the circus with him and didn't know about his phobia.","You had been to the circus with him before, and so you knew about this phobia."
23,"Psychological harm","You are giving a PowerPoint presentation for your Psychology class. Your laptop is not compatible with the classroom equipment needed to display your presentation.","You announce that you're borrowing the laptop of a classmate who is in the bathroom.","When you hook it up, pornography pops up on his computer. The whole class sees.","You didn't see that a porn site was open because the browser was hidden.","You saw that a porn site was open because the browser was in front."
24,"Psychological harm","You receive an email from a distant acquaintance in your dorm. The email says she is committing suicide tomorrow. She says it is a secret.","You cannot bear this burden alone.","You forward her entire email out to everyone in your dorm.","You think you're forwarding her email to the school psychiatrist only.","You know that everyone in your dorm will read her private email."
25,"Incest","You are walking your dog in the local park, and you see someone walking a dog of the same breed. The two of you strike up a conversation about dog walking.","After the third date, you decide to go home and sleep together.","The two of you are related by blood. You are half siblings.","You do not discover this until the next date after you'd already slept together.","You discovered this on the second date before you'd actually slept together."
26,"Incest","You are on vacation by yourself in a national park, hiking and camping. After a day or so, you run into someone who happens to be from the same city as you.","A day later, you decide to have sex in your tent, using two forms of birth control to be safe.","The person you have sex with in your tent is your first cousin.","You didn't realize you're first cousins, as you're from estranged parts of the family.","You came to realize you're first cousins, as soon as soon as you met and started talking."
27,"Incest","You are on a singles' cruise. On the first day you decide you've met your soulmate. Luckily, this person agrees, and you decide to move in together after the cruise.","After the trip, the two of you finally consummate your relationship on a waterbed.","You and this person you say is your soulmate are long lost twins.","You didn't know this until after you had sex, in talking about family drama.","You knew about this well before you had sex, in talking about family drama."
28,"Incest","You are at the library doing some research for work. You end up chatting with a younger, attractive person who happens to be reading the novel that you are reading.","A coffee date and two dinner dates later, you end up in bed with this person.","It turns out that this person is the child you gave up for adoption decades ago.","In conversation, after that night, you find out this person is your child.","In conversation, before that night, you found out this person is your child."
29,"Incest","You recently started chatting with someone in an online chat community. You live on opposite coasts, but you have been chatting nightly for weeks now.","You engage in cyber sex. For this, both of you pleasure yourselves on the computer camera.","Your cyber sex partner is your older sibling.","The camera shots were of the body only, so you didn't know it was your sibling.","The camera shots were of the body and face, so you knew it was your sibling."
30,"Incest","You and your co-workers are at a strip club. Some of the dancers are wearing masks. Your co-workers buy you a dance, where you and the dancer go to a private booth.","The dancer is about to get fully undressed. You are very aroused by the dancer.","The dancer is your own child from your former marriage.","The dancer was wearing a mask, so you could not see that it's your own child.","The dancer had taken off the mask, so you could see that it's your own child."
31,"Incest","You are at a dorm party, and you have a good time with someone there. This person feels the same way about you, like you've known each other forever.","At the end of the night, you decide to have sex, using a condom and a dental dam.","You two are actually long lost siblings.","The next day, you discover that you're siblings when you talk about family.","Earlier that night, you discovered you're siblings in talking about family."
32,"Incest","You were separated from your fraternal twin at birth. You two have never met each other. Years later, you are on a blind date. Your friends at work set you two up.","After a stimulating date, you have sex in the cab ride back.","This person is actually your fraternal twin.","You didn't talk about your shared past until after, so you didn't know.","You talked a lot about your shared past at dinner, so you definitely knew."
33,"Incest","You were adopted at birth and have never met either of your parents. At your college reunion, you go to your school's football game and meet someone a bit older.","That night, you two end up sneaking back into the stadium and having sex on the field.","The person you have sex with is actually your biological parent.","You did not know this was your parent, because you had never met.","You knew this was your parent, because you kept a photo with you."
34,"Incest","You are interested in getting some minor plastic surgery and go to a clinic your aunt suggested. The receptionist who greets you is extremely attractive.","You end up having sex with the receptionist in one of the medical exam rooms.","The person you have sex with is your aunt's child, your own cousin.","Your cousin has had multiple plastic surgeries, so you did not recognize your cousin.","Your cousin has had multiple plastic surgeries, but you still recognized your cousin."
35,"Incest","You at a family reunion. You find many members of your family to be very boring, but then you meet someone you have never seen before. The two of you start talking.","That night, you two sleep together, making sure to use birth control.","The two of you live on different continents, but you are first cousins.","You couldn't tell this person's related to you, and not just a family friend.","You could tell this person's directly related to you, not just a family friend."
36,"Incest","You have been out of touch with your brother for nearly twenty years and finally decide to reunite. You go to his house, but he's out. Someone else answers the door.","The two of you instantly hit it off and have sex in the kitchen before your brother returns.","This person happens to be your brother's adult child.","You thought that this person was just a house sitter, not related to you.","You knew this person was your brother's child, not just a house sitter."
37,"Pathogen","You are at a friend's party. People are chatting outside on the patio where you left your drink. Later in the night, you find that you are extremely thirsty.","You go out to the patio, find your drink, and drink the whole thing.","Your drink contains a fair amount of someone's urine.","You did not realize that someone peed in your drink, so you finished it.","You realized that someone peed in your drink, but you finished it anyway."
38,"Pathogen","You are in your garden planting when you decide to get a drink inside. Meanwhile, a dog wanders by where you were sitting. You go back outside to continue planting.","You scoop up a pile of dirt with your bare hands, getting some on your face.","The dirt pile is actually a pile of wet steaming poop left behind by the dog.","You didn't see the dog poop, so you continued without gloves.","You saw the dog poop, but you continued anyway without gloves."
39,"Pathogen","You are at your neighbors' house with a glass of tomato juice when their vampire-obsessed -year-old daughter enters the kitchen. She starts talking about vampires.","You take your tomato juice to drink and finish it in a few gulps.","What you drank was half juice half human blood that this girl poured in.","You weren't looking when she poured the blood, so you drank your juice.","You were looking when she poured in the blood, but you drank it anyway."
40,"Pathogen","You're preparing dinner for yourself, and decide to make rice pilaf. The last time you put the rice in the cupboard nearly a month ago, you left the container open.","You scoop up a large cup of rice, cook it, and eat all of it for dinner.","Your rice is infested with maggots, which you end up cooking and eating.","You didn't see the maggots when you scooped up the rice, so you had it for dinner.","You saw the maggots when you scooped up the rice but decided not to waste food."
41,"Pathogen","You are having a picnic at the beach with friends. One of your friends is already very sunburnt and has been compulsively peeling flakes of skin off his body all day.","You and your friends decide to go swim for a while. When you come back, you eat your food.","While you were swimming, a breeze blew all the skin flakes onto your potato salad.","You didn't realize your potato salad was covered in skin flakes, so you ate it.","You realized your potato salad was covered in skin flakes, but you ate it anyway."
42,"Pathogen","You are working at a free health care clinic. While you are sitting, somebody walking by spills iced coffee on your head. You look for something to wipe off your face and neck.","You find a cloth on the table and wipe off your entire face and neck.","The cloth is actually a used bandage covered in dried body fluids.","You did not know that the cloth was a used bandage, so you used it.","You knew that the cloth was a used bandage, but you used it anyway."
43,"Pathogen","You are eating lunch at a new fast food restaurant. You decide to try the new 'super burger' on the menu. You're starving by the time the burger is in your hands.","You scarf down the whole burger along with your soda and fries.","The burger actually contains the tail of a tiny dead mouse that got cooked into your burger.","You did not see the tiny mouse tail at any point, so you finished your meal.","You saw a tiny mouse tail halfway through your meal but continued eating."
44,"Pathogen","A car just killed your beloved dog. You had your dog for many years. Later, to cheer yourself up, you decide to cook dinner for yourself and your quirky housemate.","You take meat out of the freezer, chop it into smaller cubes and make stew for dinner.","The meat was from your dead dog. Your housemate had prepared and frozen it before it spoiled.","The meat was labeled 'beef' so you did not realize you were eating your dog.","The meat was labeled 'dog', so you did realize that you were eating your dog."
45,"Pathogen","You are waiting to brush your teeth while your friend is in the bathroom. When she leaves, you go in. There's an opened pregnancy test on the counter by the sink.","You finish brushing your teeth and use a cup on the counter to rinse out your mouth.","Your friend just peed in that cup for her pregnancy test.","Your friend forgot to tell you she peed in that cup, so you thought it was just mouthwash.","Your friend told you she peed in that cup, so you knew it was urine, and not mouthwash."
46,"Pathogen","Your roommate recently had liposuction around her stomach. She is now one week post operation. She is resting in the living room, when you return from the gym.","You go to take a shower. You've just run out of your favorite body wash, so you decide to use soap.","The soap you used to clean your body was made from your roommate's stomach fat.","The soap was labeled 'Dove', so you had no idea it was actually stomach fat soap.","The soap was labeled 'Fat', so you knew it was your roommate's stomach fat soap."
47,"Pathogen","Your grandpa is in bed with a terrible cough. You decide to bring over a large container of soup for the two of you. You go to the kitchen to get two bowls and silverware.","You divide the soup up into two bowls and finish all of your serving.","When you were in the kitchen, your grandpa tipped a container of his phlegm into the soup.","You had no idea your grandpa spilled his phlegm because he didn't say anything.","You knew your grandpa spilled his phlegm because the container had tipped over."
48,"Pathogen","You are at your uncle's house. Your uncle is somewhat mentally unstable. He collects many strange small objects. You decide to make yourself some coffee and go to the kitchen.","You grind some coffee beans from a container, and brew some coffee.","The container contained your uncle's toenail clippings that you ground up with the beans.","The clippings were at the bottom, so you did not see anything wrong with the coffee.","The clippings were at the top, so you saw that something was wrong with the coffee."
49,"Neutral","You are taking a walk by the woods near your house when you run into a neighbor of yours, walking one big dog and one small dog. Your neighbor stops to say hi.","You say hi and bend down to pet your neighbor's dogs.","The big dog starts wagging its tail, but the small dog bears its teeth.","You didn't see that the big dog was friendlier than the small dog.","You saw that the big dog was friendlier than the small dog."
50,"Neutral","You are walking to your local supermarket. It has been raining, and the street is covered in large puddles. You see one in the path in front of you.","You go to jump over the puddle but don't make it, dunking your foot in the water.","Despite this, no water soaks through your shoe, and your foot remains dry.","You knew that your shoes were water resistant.","You didn't know that your shoes were water resistant."
51,"Neutral","You are a new employee at a popular clothes store in the mall. You go in for your first day of work and meet your first customer. They are looking for a new shirt.","The customer tries on a few shirts but decides not to buy any of them.","The customer leaves their shirts in the dressing room.","You realized this and refold the shirts to be put back.","You didn't realize this and refold the shirts at the end of the day."
52,"Neutral","You're out to dinner with some friends of yours. As the appetizers arrive, you ask whether anyone's seen any exciting movies or read any interesting books lately.","You tell your friends about a movie you rented last weekend.","Two of your friends saw this movie when it came out last year.","You did not realize this until after you started talking about it.","You realized they'd seen it because they told you a while back."
53,"Neutral","You are bored, and have started checking your friends' facebook pages to see if there is any news.","You go to the page of a friend you haven't spoken to since high school.","His status has changed from “single” to “in a relationship.","You didn't hear that he was in a relationship.","You already heard that he was in a relationship."
54,"Neutral","You and a friend are about to give a big presentation in class. You both have been working on it for many weeks are completely prepared.","You two show up for class and give the presentation.","The teacher enjoys it, especially the graphs you included.","You knew the teacher would enjoy the graphs.","You did not know the teacher would enjoy the graphs."
55,"Neutral","You and your partner are on a week-long vacation together. For the first time in a while, you're totally relaxed and not tied to your computer or Blackberry.","You spend much of the week in the hotel room, sleeping or having sex.","This is your first vacation since your honeymoon two years ago.","You didn't realize how much you needed a vacation.","You realized just how much you needed a vacation."
56,"Neutral","You are at work when you on break for lunch. You have finished eating, and are making a quick run to the bank to deposit this week's paycheck.","You go into the bank, and get in line for one of the tellers.","You chose this line because you are attracted to the bank teller.","You could tell that the bank teller also finds you attractive.","You couldn't tell that the bank teller also finds you attractive."
57,"Neutral","You have just graduated college and have started working at your new job. You get along especially well with someone from the office next to you.","You decide to date, and after several months, decide to sleep together.","Several years later this person becomes your spouse.","When you first met, you knew that they could be your spouse one day.","When you first met, you never knew that they could be your spouse one day."
58,"Neutral","You are in charge of teaching third-graders reading and writing skills. You usually read to the children first and then have them write and read aloud their own stories.","For this class, you have everyone to write about food they ate recently.","Two people in the class write about how they ate potato salad.","This hadn't come up before, so you didn't know they'd eaten potato salad.","This came up before, so you knew these students had eaten potato salad."
59,"Neutral","You are taking a stroll in the park by your house along the bank of a stream. It is finally nice weather outside, and you are enjoying the fresh cool air.","Every once in a while, you pick up a stone and skip it across the water.","As you reach for a stone, a big toad suddenly hops from next to it into the water.","You did not see the toad before it hopped away.","You could see the toad before it hopped away."
60,"Neutral","You are very hungry and decide to go to your favorite fast-food restaurant for lunch. You look through the many choices on the menu and decide to get the chicken sandwich.","You get your food and hungrily eat the whole thing.","While you eat, you spill a little bit of ketchup on your pants.","You realize this when it happens and clean it off.","You don't realize until you finish eating, then you clean it off."
