,model_path,timestamp,_runtime,cs_hard_set_acc,cs_test_set_acc,last_checkpoint_path,checkpoint_path,_step,model_size_mln,seq_train,sampling_method,only_on_ethics,only_on_lfb,bs_max,bs_std,steps
94,bert-base-cased,2023-09-30 09:16:53 GMT,1131.6209411621094,0.5,0.5,artifacts/train_head_on_ethics_bert-base-cased.ckpt,,36,108,,AVG,True,False,0.36435463883205504,0.030480138137755197,36
93,bert-base-cased,2023-09-30 09:28:47 GMT,694.0684797763824,0.5,0.5,,artifacts/train_head_on_ethics_bert-base-cased.ckpt,21,108,commonsense then LFB,AVG,False,False,0.36219272262878505,0.10468536983702116,21
92,bert-base-cased,2023-09-30 09:47:56 GMT,1130.2561600208282,0.5,0.5,,,36,108,,LAST,True,False,0.3705621819972194,0.015895671156079233,36
107,bert-base-cased,2023-09-29 08:40:03 GMT,293.5558943748474,0.5151380300521851,0.6642106771469116,,,30,108,,LAST,False,False,,,30
147,bert-base-cased,2023-09-23 06:55:13 GMT,165.69549560546875,0.5220000147819519,0.6060000061988831,,,20,108,,LAST,False,False,,,20
151,bert-base-cased,2023-09-22 05:19:19 GMT,13471.061417102814,0.531000018119812,0.5960000157356262,,,248,108,,LAST,False,False,,,248
157,bert-base-cased,2023-09-21 14:30:45 GMT,317.1926975250244,0.5289999842643738,0.6294999718666077,artifacts/train_head_on_ethics.ckpt,,78,108,,LAST,True,False,,,78
231,bert-base-cased,2023-09-08 16:18:36 GMT,1483.1271092891693,0.5099999904632568,0.5600000023841858,,,30,108,,LAST,False,False,,,30
221,bert-base-cased,2023-09-13 07:04:18 GMT,78.70291304588318,0.5199999809265137,0.5099999904632568,,,24,108,,,False,False,,,24
219,bert-base-cased,2023-09-13 07:41:15 GMT,588.2305908203125,0.5180000066757202,0.5,,,1,108,,LAST,False,False,,,1
203,bert-base-cased,2023-09-14 12:21:32 GMT,475.38592004776,0.515999972820282,0.5099999904632568,,,71,108,,,False,False,,,71
202,bert-base-cased,2023-09-14 12:31:53 GMT,450.29399609565735,0.515999972820282,0.5099999904632568,,,40,108,,,False,False,,,40
200,bert-base-cased,2023-09-14 12:44:00 GMT,630.4593250751495,0.515999972820282,0.5099999904632568,,,62,108,,,False,False,,,62
199,bert-base-cased,2023-09-14 12:58:21 GMT,610.4560539722443,0.515999972820282,0.5099999904632568,,,96,108,,,False,False,,,96
198,bert-base-cased,2023-09-14 13:52:28 GMT,528.6731519699097,0.515999972820282,0.5299999713897705,,,37,108,,,False,False,,,37
197,bert-base-cased,2023-09-14 14:00:38 GMT,393.3537392616272,0.515999972820282,0.5299999713897705,,,26,108,,,False,False,,,26
165,bert-base-cased,2023-09-19 13:59:35 GMT,983.3234541416168,0.5189999938011169,0.5299999713897705,,,296,108,,LAST,False,False,,,296
163,bert-base-cased,2023-09-20 16:10:21 GMT,113.37168598175047,0.5230000019073486,0.5360000133514404,,,23,108,,LAST,False,False,,,23
162,bert-base-cased,2023-09-21 12:22:01 GMT,106.0059552192688,0.515999972820282,0.6349999904632568,,,50,108,,LAST,False,False,,,50
161,bert-base-cased,2023-09-21 13:39:39 GMT,79.23234558105469,0.5299999713897705,0.6290000081062317,,,23,108,,LAST,False,False,,,23
159,bert-base-cased,2023-09-21 13:55:25 GMT,118.01417231559752,0.5199999809265137,0.609000027179718,artifacts/checkpoint.ckpt,,12,108,,LAST,False,False,,,12
158,bert-base-cased,2023-09-21 14:21:54 GMT,319.08488965034485,0.5320000052452087,0.5504999756813049,artifacts/train_head_on_ethics.ckpt,,78,108,,LAST,True,False,,,78
91,bert-base-cased,2023-09-30 09:59:42 GMT,687.6243345737457,0.5042048692703247,0.5025123953819275,,,21,108,,LAST,False,True,0.3651099563846942,0.09899226144047944,21
77,bert-base-cased,2023-10-03 13:22:44 GMT,960.6575095653534,0.5444515347480774,0.6678712368011475,,,16,108,,AVG,True,False,0.3058449064804556,0.07002680086145861,16
245,bert-base-cased,2023-09-05 11:13:06 GMT,489.81043100357056,0.4884937107563019,0.5339855551719666,,,12,108,,,False,False,,,12
33,bert-base-cased,2023-11-25 11:21:44 GMT,304.15432596206665,0.5,0.5,,,50,108,,LAST,False,False,,,50
38,bert-base-cased,2023-10-13 12:51:33 GMT,269.8547613620758,0.5,0.5,,,50,108,,LAST,False,False,,,50
37,bert-base-cased,2023-10-13 13:10:29 GMT,106.80224704742432,0.5356476902961731,0.5595238208770752,,,32,108,,LAST,False,False,,,32
36,bert-base-cased,2023-10-13 13:20:55 GMT,498.7980980873108,0.5289405584335327,0.6998220682144165,,,50,108,,LAST,False,False,,,50
31,bert-base-cased,2023-11-25 11:32:42 GMT,148.2829713821411,0.5228332877159119,0.6032092571258545,,,10,108,,LAST,False,False,,,10
32,bert-base-cased,2023-11-25 11:29:19 GMT,78.75860667228699,0.4895428717136383,0.4166666865348816,,,31,108,,LAST,False,False,,,31
35,bert-base-cased,2023-10-14 13:35:35 GMT,350.0743124485016,0.5348985195159912,0.6993557810783386,,,34,108,,LAST,False,False,,,34
34,bert-base-cased,2023-10-23 19:07:39 GMT,2839.4242367744446,0.5,0.5,,,5,108,,LAST,False,False,,,5
167,bert-large-cased,2023-09-19 05:58:51 GMT,2231.163437604904,0.515999972820282,0.5299999713897705,,,133,333,,LAST,True,False,,,133
108,bert-large-cased,2023-09-29 07:48:23 GMT,2630.904547929764,0.5525725483894348,0.6499056816101074,,artifacts/train_head_on_ethics_bert_large.ckpt,52,333,commonsense then LFB,AVG,False,False,,,52
110,bert-large-cased,2023-09-28 22:38:54 GMT,3083.5333409309387,0.5,0.4996379315853119,,,57,333,,LAST,True,False,,,57
112,bert-large-cased,2023-09-28 20:38:43 GMT,1337.416684627533,0.5298568606376648,0.6453668475151062,,,57,333,,LAST,True,False,,,57
113,bert-large-cased,2023-09-28 20:06:07 GMT,3954.974606990814,0.4997403919696808,0.5003620386123657,,,93,333,,AVG,False,True,,,93
116,bert-large-cased,2023-09-28 16:18:21 GMT,1314.2497627735138,0.5423464775085449,0.6546140909194946,artifacts/train_head_on_ethics_bert_large.ckpt,,57,333,,AVG,True,False,,,57
119,bert-large-cased,2023-09-28 15:30:07 GMT,1582.567322254181,0.5002595782279968,0.4996379315853119,,artifacts/train_head_on_ethics_bert_large.ckpt,27,333,commonsense then LFB,AVG,False,False,,,27
122,bert-large-cased,2023-09-28 13:31:51 GMT,903.5377411842346,0.5338348746299744,0.6738196611404419,,artifacts/train_head_on_ethics_bert_large.ckpt,4,333,commonsense then commonsense,AVG,True,False,,,4
125,bert-large-cased,2023-09-28 12:12:20 GMT,676.3929615020752,0.5406560301780701,0.5758435130119324,,artifacts/train_head_on_ethics_bert_large.ckpt,8,333,commonsense then commonsense,AVG,True,False,,,8
155,bert-large-cased,2023-09-21 15:10:19 GMT,927.5932185649872,0.515999972820282,0.534500002861023,artifacts/train_head_on_ethics_bert_large.ckpt,,78,333,,LAST,True,False,,,78
131,bert-large-cased,2023-09-26 07:19:08 GMT,31771.094570159912,0.5119072198867798,0.5186913013458252,artifacts/train_head_on_ethics_bert_large_end.ckpt,artifacts/train_head_on_ethics_bert_large.ckpt,1545,333,commonsense then LFB,AVG,False,False,,,1545
132,bert-large-cased,2023-09-25 22:29:09 GMT,14880.22339630127,0.5451452732086182,0.6563328504562378,artifacts/train_head_on_ethics_bert_large.ckpt,,1283,333,,LAST,True,False,,,1283
133,bert-large-cased,2023-09-25 17:59:06 GMT,11291.633395910265,0.5304581522941589,0.5695752501487732,artifacts/train_head_on_ethics_bert_large_end.ckpt,artifacts/train_head_on_ethics_bert_large.ckpt,645,333,commonsense then LFB,AVG,False,False,,,645
134,bert-large-cased,2023-09-25 14:50:31 GMT,5881.73924446106,0.527925431728363,0.5907252430915833,artifacts/train_head_on_ethics_bert_large.ckpt,,651,333,,LAST,True,False,,,651
135,bert-large-cased,2023-09-25 12:26:00 GMT,10514.687022686005,0.5400397181510925,0.6545830965042114,,artifacts/train_head_on_ethics_bert_large.ckpt,701,333,commonsense then LFB,AVG,False,False,,,701
136,bert-large-cased,2023-09-25 09:30:15 GMT,4170.205071687698,0.529625415802002,0.6786456108093262,artifacts/train_head_on_ethics_bert_large.ckpt,,523,333,,LAST,True,False,,,523
166,bert-large-cased,2023-09-19 12:58:42 GMT,16023.36880993843,0.5730000138282776,0.7540000081062317,,,585,333,,AVG,False,False,,,585
164,bert-large-cased,2023-09-19 17:54:35 GMT,12975.603532075882,0.515999972820282,0.5339999794960022,,,410,333,,SENTENCES,False,False,,,410
144,bert-large-cased,2023-09-23 09:18:41 GMT,2843.2788376808167,0.4970000088214874,0.4704999923706054,artifacts/train_head_on_ethics_bert_large.ckpt,,325,333,,LAST,True,False,,,325
146,bert-large-cased,2023-09-23 07:43:38 GMT,2676.0028533935547,0.4790000021457672,0.4194999933242798,artifacts/train_head_on_ethics_bert_large.ckpt,,325,333,,LAST,True,False,,,325
153,bert-large-cased,2023-09-21 16:25:28 GMT,3041.7673218250275,0.5490000247955322,0.6840000152587891,artifacts/train_head_on_ethics_bert_large.ckpt,,325,333,,LAST,True,False,,,325
124,bert-large-cased,2023-09-28 12:40:42 GMT,1650.5821251869202,0.5400350093841553,0.665782630443573,,artifacts/train_head_on_ethics_bert_large.ckpt,22,333,commonsense then commonsense,AVG,True,False,,,22
100,bert-large-cased,2023-09-29 15:46:30 GMT,3765.083158016205,0.5272916555404663,0.5298148393630981,,artifacts/train_head_on_ethics_bert-large-cased.ckpt,61,333,,AVG,False,True,0.3802136853905397,0.11490615584208248,61
168,bert-large-cased,2023-09-19 05:18:43 GMT,4563.24374127388,0.5600000023841858,0.7350000143051147,,,146,333,,AVG,False,False,,,146
98,bert-large-cased,2023-09-29 17:15:15 GMT,1424.4357006549835,0.4794999957084656,0.4939444661140442,,artifacts/train_head_on_ethics_bert-large-cased.ckpt,63,333,commonsense then LFB,AVG,False,False,0.36723858984778573,0.12439769034608732,63
208,bert-large-cased,2023-09-14 06:32:12 GMT,47400.09772133827,0.5199999809265137,0.5339999794960022,,,2811,333,,,False,False,,,2811
206,bert-large-cased,2023-09-14 09:01:14 GMT,5999.709806442261,0.5199999809265137,0.5339999794960022,,,348,333,,,False,False,,,348
205,bert-large-cased,2023-09-14 11:10:38 GMT,7609.680545568466,0.5199999809265137,0.5339999794960022,,,445,333,,,False,False,,,445
6,bert-large-cased,2023-12-12 20:07:40 GMT,10006.022001743317,0.6184999942779541,0.8542667627334595,artifacts/bert-large-cased_fmri_and_ethics_hm_23-12-12_1720.ckpt,,335,333,,LAST,False,False,0.36108508260869904,0.11008870278166563,335
195,bert-large-cased,2023-09-14 22:43:57 GMT,29650.626119852062,0.5099999904632568,0.6800000071525574,,,1889,333,,,False,False,,,1889
191,bert-large-cased,2023-09-14 23:42:17 GMT,3476.682554244995,0.5199999809265137,0.5325000286102295,,,353,333,,,False,False,,,353
187,bert-large-cased,2023-09-15 15:08:03 GMT,33561.041081905365,0.550000011920929,0.7519999742507935,,,1095,333,,,False,False,,,1095
99,bert-large-cased,2023-09-29 16:50:56 GMT,2275.6702258586884,0.49791669845581055,0.5182222127914429,artifacts/train_head_on_ethics_bert-large-cased.ckpt,,87,333,,AVG,True,False,0.3533663781999606,0.14855091637149254,87
180,bert-large-cased,2023-09-16 13:27:43 GMT,4329.159880876541,0.5709999799728394,0.7459999918937683,,,127,333,,LAST,False,False,,,127
176,bert-large-cased,2023-09-18 19:29:15 GMT,4295.264527082443,0.5559999942779541,0.7120000123977661,,,194,333,,LAST,False,False,,,194
175,bert-large-cased,2023-09-18 20:41:42 GMT,4325.839015722275,0.515999972820282,0.5299999713897705,,,163,333,,LAST,False,False,,,163
174,bert-large-cased,2023-09-18 21:58:23 GMT,4579.343895196915,0.5759999752044678,0.7400000095367432,,,146,333,,LAST,False,False,,,146
184,bert-large-cased,2023-09-15 16:58:26 GMT,6599.947950363159,0.5199999809265137,0.4659999907016754,,,408,333,,,False,False,,,408
73,bert-large-cased,2023-10-03 17:32:29 GMT,4717.6433227062225,0.5872511267662048,0.7927094101905823,,,141,333,,LAST,True,False,0.35833549891523014,0.09626811559511157,141
74,bert-large-cased,2023-10-03 16:13:32 GMT,2956.4278090000153,0.5959523916244507,0.7773470878601074,,artifacts/train_head_on_ethics_bert-large-cased.ckpt,115,333,commonsense then LFB,AVG,False,False,0.3509641146722456,0.07523365825730186,115
75,bert-large-cased,2023-10-03 15:23:48 GMT,4719.336962938309,0.5882715582847595,0.7802029848098755,artifacts/train_head_on_ethics_bert-large-cased.ckpt,,141,333,,AVG,True,False,0.352178004574483,0.1024096155370776,141
173,bert-large-cased,2023-09-18 23:09:54 GMT,4266.319978713989,0.515999972820282,0.5299999713897705,,,194,333,,MIDDLE,False,False,,,194
90,bert-large-cased,2023-09-30 10:45:25 GMT,2704.7518393993378,0.5,0.5,artifacts/train_head_on_ethics_bert-large-cased.ckpt,,133,333,,AVG,True,False,,,133
172,bert-large-cased,2023-09-19 00:22:18 GMT,4325.295979976654,0.515999972820282,0.5299999713897705,,,163,333,,MIDDLE,False,False,,,163
171,bert-large-cased,2023-09-19 01:38:39 GMT,4564.374855518341,0.5699999928474426,0.7450000047683716,,,146,333,,MIDDLE,False,False,,,146
97,bert-large-cased,2023-09-29 17:55:49 GMT,2394.5915253162384,0.4879167675971985,0.517916738986969,,,87,333,,LAST,True,False,0.3534948883940038,0.14794896179203634,87
72,bert-large-cased,2023-10-03 18:22:09 GMT,2958.903335094452,0.48773330450057983,0.49751773476600647,,,115,333,,LAST,False,True,0.3928667448979578,0.10766782074664606,115
96,bert-large-cased,2023-09-29 18:20:13 GMT,1440.0082774162292,0.4925000071525574,0.4740000069141388,,,63,333,,LAST,False,True,0.33456305594839636,0.13314765356029815,63
169,bert-large-cased,2023-09-19 04:02:22 GMT,4317.194122552872,0.515999972820282,0.5299999713897705,,,163,333,,AVG,False,False,,,163
170,bert-large-cased,2023-09-19 02:50:04 GMT,4264.367608785629,0.5649999976158142,0.7360000014305115,,,194,333,,AVG,False,False,,,194
17,roberta-large,2023-11-29 17:31:52 GMT,6967.401952505112,0.7246666550636292,0.9092668294906616,artifacts/roberta-large_fmri_and_ethics_hm_23-11-29_1535.ckpt,,732,355,,AVG,False,False,0.21473821139744065,0.09195510060505498,732
16,roberta-large,2023-11-29 18:53:47 GMT,4875.8650941848755,0.7160476446151733,0.9016667604446412,artifacts/roberta-large_Ethics-HM_then_fmri-HM_23-11-29_1732.ckpt,,249,355,,AVG,True,False,0.2778576856804031,0.09946290546670505,249
9,roberta-large,2023-12-01 16:10:07 GMT,1636.7356843948364,0.5011667013168335,0.510200023651123,artifacts/roberta-large_fmri-hm_then_ethics-hm_23-12-01_1542.ckpt,,86,355,,SENTENCES,False,True,0.2974762125773903,0.10190964521275374,86
14,roberta-large,2023-11-30 09:13:50 GMT,4172.8150017261505,0.5039839744567871,0.5053257942199707,artifacts/roberta-large_fmri-hm_then_ethics-hm_23-11-30_0803.ckpt,,31,355,,AVG,False,True,0.2952054711169297,0.10123922871800081,31
8,roberta-large,2023-12-01 17:25:16 GMT,4489.985455274582,0.6956475973129272,0.898933470249176,artifacts/roberta-large_fmri-hm_then_ethics-hm_23-12-01_1610.ckpt,artifacts/roberta-large_fmri-hm_then_ethics-hm_23-12-01_1542.ckpt,170,355,LFB then commonsense,SENTENCES,False,False,0.3181671135333892,0.12005367552807333,170
10,roberta-large,2023-12-01 14:02:11 GMT,1508.1090154647827,0.5,0.5,artifacts/roberta-large_fmri-hm_then_ethics-hm_23-12-01_1336.ckpt,,42,355,,SENTENCES,False,True,0.3317453928845777,0.10811655760909085,42
11,roberta-large,2023-12-01 13:36:40 GMT,4050.0633239746094,0.5,0.5,artifacts/roberta-large_Ethics-HM_then_fmri-HM_23-12-01_1229.ckpt,artifacts/roberta-large_Ethics-HM_then_fmri-HM_23-12-01_1228.ckpt,149,355,,SENTENCES,False,True,0.2890125837548907,0.10288032820733531,149
13,roberta-large,2023-11-30 12:35:46 GMT,9445.414831638336,0.7096120119094849,0.8971213698387146,artifacts/roberta-large_fmri-hm_then_ethics-hm_23-11-30_0958.ckpt,roberta-large_fmri-hm_then_ethics-hm_23-11-30_0803.ckpt,128,355,,AVG,True,False,0.3049253581310251,0.11546065614793358,128
15,roberta-large,2023-11-29 19:33:47 GMT,2362.0007631778717,0.49799999594688416,0.5,artifacts/roberta-large_Ethics-HM_then_fmri-HM_23-11-29_1854.ckpt,artifacts/roberta-large_Ethics-HM_then_fmri-HM_23-11-29_1732.ckpt,75,355,commonsense then LFB,AVG,False,False,0.33234437360214564,0.13019877130423307,75
18,roberta-large,2023-11-29 14:09:37 GMT,5951.545321464539,0.7325142025947571,0.9054000377655028,artifacts/roberta-large_fmri-hm_then_ethics-hm_23-11-29_1230.ckpt,artifacts/roberta-large_fmri-hm_then_ethics-hm_23-11-29_1153.ckpt,372,355,LFB then commonsense,LAST,False,False,0.3297045951553961,0.1238084110742363,372
51,roberta-large,2023-10-06 09:01:27 GMT,2096.3066215515137,0.4968096315860748,0.4950557351112366,,artifacts/RoBERTa-Ethics-fmri.ckpt,63,355,LFB then commonsense,AVG,False,False,0.3988046960815988,0.1062413981421152,63
20,roberta-large,2023-11-28 17:52:54 GMT,1753.4649102687836,0.7219999432563782,0.851933479309082,artifacts/roberta-large_Ethics-HM_then_fmri-HM_23-11-28_1723.ckpt,artifacts/roberta-large_Ethics-HM_then_fmri-HM_23-11-28_1428.ckpt,62,355,commonsense then LFB,LAST,False,False,0.27628291224987445,0.1121583629018925,62
59,roberta-large,2023-10-04 19:06:37 GMT,2243.6332664489746,0.5,0.5,,artifacts/train_head_on_ethics_roberta-large.ckpt,60,355,commonsense then LFB,AVG,False,False,0.3914846604353941,0.09406014951067204,60
60,roberta-large,2023-10-04 18:28:48 GMT,4594.457991838455,0.4990706443786621,0.5,artifacts/train_head_on_ethics_roberta-large.ckpt,,12,355,,,True,False,0.34673277348599013,0.08752349938286708,12
63,roberta-large,2023-10-04 14:39:14 GMT,2226.0437762737274,0.5006285905838013,0.5010448694229126,,,60,355,,LAST,False,True,0.37961224813630146,0.097348000173175,60
64,roberta-large,2023-10-04 14:01:46 GMT,7028.423704385757,0.7316893339157104,0.8956918716430664,,,127,355,,LAST,True,False,0.396574067069308,0.10219195481661768,127
65,roberta-large,2023-10-04 12:04:16 GMT,2215.8219594955444,0.5,0.5,,artifacts/train_head_on_ethics_roberta-large.ckpt,60,355,commonsense then LFB,AVG,False,False,0.3597311887632455,0.09229291865970551,60
19,roberta-large,2023-11-29 12:29:50 GMT,2082.5503146648407,0.4943332970142365,0.4980667233467102,artifacts/roberta-large_fmri-hm_then_ethics-hm_23-11-29_1153.ckpt,,98,355,,LAST,False,True,0.30150208106514265,0.11244911772943096,98
66,roberta-large,2023-10-04 11:26:52 GMT,7031.11376452446,0.734114408493042,0.9020938277244568,artifacts/train_head_on_ethics_roberta-large.ckpt,,127,355,,AVG,True,False,0.34034084923091024,0.09178175291343794,127
56,roberta-large,2023-10-05 15:29:59 GMT,4225.638116598129,0.5002519488334656,0.4990079402923584,artifacts/RoBERTa-Ethics-fmri.ckpt,,184,355,,,True,False,0.34673277348599013,0.08752349938286708,184
67,roberta-large,2023-10-04 09:29:20 GMT,2222.5290319919586,0.5,0.5,,,60,355,,AVG,False,True,0.3410581857129908,0.07239112774092107,60
52,roberta-large,2023-10-06 08:25:33 GMT,2228.957775115967,0.5,0.5,artifacts/RoBERTa-Ethics-fmri.ckpt,,43,355,,AVG,False,True,0.3988046960815988,0.1062413981421152,43
55,roberta-large,2023-10-05 18:22:05 GMT,10295.013877630234,0.7215041518211365,0.8968977332115173,artifacts/RoBERTa-Ethics-fmri.ckpt,,184,355,,LAST,True,False,0.34730434224549994,0.07615254448551598,184
54,roberta-large,2023-10-05 19:33:54 GMT,4256.626519441605,0.7204018831253052,0.901766836643219,,artifacts/RoBERTa-Ethics-fmri.ckpt,184,355,commonsense then commonsense,AVG,True,False,0.34730434224549994,0.07615254448551598,184
49,roberta-large,2023-10-06 10:38:15 GMT,1892.7275557518003,0.4970000088214874,0.49555936455726624,,artifacts/RoBERTa-Ethics-fmri.ckpt,42,355,commonsense then LFB,LAST,False,False,,,42
48,roberta-large,2023-10-06 11:12:50 GMT,1965.5090670585632,0.5043714046478271,0.4913079440593719,,artifacts/RoBERTa-Ethics-fmri.ckpt,42,355,commonsense then LFB,AVG,False,False,,,42
46,roberta-large,2023-10-06 12:22:37 GMT,2212.9589269161224,0.5,0.5,artifacts/RoBERTa-Ethics-fmri.ckpt,,43,355,,AVG,False,True,0.3699867384096016,0.09038201373380296,43
45,roberta-large,2023-10-06 14:04:42 GMT,5468.635464429855,0.7071143388748169,0.9177249670028688,,artifacts/RoBERTa-Ethics-fmri.ckpt,165,355,LFB then commonsense,,False,False,0.370071213184112,0.08684711465882791,165
43,roberta-large,2023-10-06 16:26:53 GMT,2085.7484085559845,0.7414857149124146,0.9003307819366455,,,59,355,,,True,False,0.31906242244699085,0.08711528774374631,59
39,roberta-large,2023-10-11 19:04:25 GMT,5404.60195016861,0.7154094576835632,0.9126667976379396,,,168,355,,,True,False,,,168
53,roberta-large,2023-10-06 07:47:40 GMT,2185.7181589603424,0.7023620009422302,0.8662060499191284,,artifacts/RoBERTa_3hours_on_ethics_only.ckpt,43,355,,LAST,False,True,0.37424000421556475,0.07413183128913259,43
50,roberta-large,2023-10-06 10:06:01 GMT,2360.1767814159393,0.5,0.5,artifacts/RoBERTa-Ethics-fmri.ckpt,,63,355,,,True,False,0.3467327519625064,0.08752349394982945,63
26,roberta-large,2023-11-25 13:52:35 GMT,4958.03945016861,0.7050762176513672,0.9055335521697998,,,170,355,,,True,False,0.23324106320314764,0.09254383466860445,170
25,roberta-large,2023-11-25 15:22:46 GMT,5389.620526790619,0.5019999742507935,0.5,artifacts/RoBERTa-transfer.ckpt,,326,355,,AVG,False,True,0.31170707678231985,0.1365997032870545,326
24,roberta-large,2023-11-25 17:38:44 GMT,8135.478876590729,0.6837714314460754,0.8958001732826233,,artifacts/RoBERTa-transfer.ckpt,282,355,LFB then commonsense,AVG,False,False,0.1954638013688874,0.10019502264833183,282
22,roberta-large,2023-11-28 14:28:00 GMT,6375.3203864097595,0.6988332867622375,0.9144001603126526,artifacts/roberta-large_fmri_and_ethics_hm_23-11-28_1241.ckpt,,334,355,,LAST,False,False,0.2610122692646254,0.08769527599938048,334
21,roberta-large,2023-11-28 16:51:53 GMT,8600.898707151413,0.7298855781555176,0.895466685295105,artifacts/roberta-large_Ethics-HM_then_fmri-HM_23-11-28_1428.ckpt,,282,355,,LAST,True,False,0.28516840214233863,0.10592292838159587,282
58,roberta-large,2023-10-04 19:44:23 GMT,2243.750134944916,0.5,0.5,,,60,355,,LAST,False,True,0.3502626769158152,0.10446455204835241,60
57,roberta-large,2023-10-05 14:18:29 GMT,917.357797384262,0.4998582899570465,0.4998582899570465,artifacts/RoBERTa-Ethics-fmri.ckpt,,30,355,,,True,False,0.34673277348599013,0.08752349938286708,30
236,microsoft/deberta-v2-xlarge,2023-09-06 17:18:27 GMT,825.7204818725586,0.48423707485198975,0.5004270076751709,,,9,884,,,False,False,,,9
237,microsoft/deberta-v2-xlarge,2023-09-06 16:51:34 GMT,17693.451994419098,0.7080706357955933,0.5286080241203308,,,162,884,,,False,False,,,162
238,microsoft/deberta-v2-xlarge,2023-09-06 11:29:10 GMT,528.9845213890076,0.4810844957828522,0.5,,,4,884,,,False,False,,,4
239,microsoft/deberta-v2-xlarge,2023-09-06 11:04:58 GMT,1285.1543684005735,0.5353089570999146,0.5004270076751709,,,9,884,,,False,False,,,9
2,microsoft/deberta-v2-xlarge,2023-12-17 00:04:16 GMT,19367.25162744522,0.5170000195503235,0.5019999742507935,artifacts/microsoft_deberta-v2-xlarge_fmri_and_ethics_hm_23-12-16_1841.ckpt,,698,884,,LAST,False,False,0.38151221294231064,0.04841362542074699,698
3,microsoft/deberta-v2-xlarge,2023-12-16 18:40:53 GMT,16380.632445335388,0.765999972820282,0.8986666798591614,artifacts/microsoft_deberta-v2-xlarge_Ethics-HM_then_fmri-HM_23-12-16_1407.ckpt,artifacts/microsoft_deberta-v2-xlarge_Ethics-HM_then_fmri-HM_23-12-16_1116.ckpt,553,884,commonsense then LFB,LAST,False,False,0.3783628417562105,0.04529469332997423,553
186,microsoft/deberta-v2-xlarge,2023-09-15 10:46:50 GMT,13768.85400533676,0.453125,0.5335120558738708,,,494,884,,,False,False,,,494
182,microsoft/deberta-v2-xlarge,2023-09-16 10:57:52 GMT,4626.079259395599,0.484375,0.6997318863868713,,,181,884,,LAST,False,False,,,181
69,microsoft/deberta-v2-xlarge,2023-10-04 08:38:47 GMT,13518.855049610138,0.49799999594688416,0.5013333559036255,artifacts/train_head_on_ethics_DEBERTA.ckpt,,405,884,,AVG,True,False,0.3636464835507143,0.11738983519401001,405
70,microsoft/deberta-v2-xlarge,2023-10-03 23:59:02 GMT,6646.211628198624,0.484499990940094,0.4986666738986969,,artifacts/train_head_on_ethics_DEBERTA.ckpt,220,884,commonsense then LFB,AVG,False,False,0.3777265936889092,0.14956302703971705,220
71,microsoft/deberta-v2-xlarge,2023-10-03 22:07:17 GMT,13131.000771045685,0.49900001287460327,0.49844446778297424,artifacts/train_head_on_ethics_DEBERTA.ckpt,,336,884,,AVG,True,False,0.3233033312572045,0.12070607574616302,336
240,microsoft/deberta-v2-xlarge,2023-09-06 09:52:40 GMT,1077.2237186431885,0.5157629251480103,0.4995730221271515,,,7,884,,,False,False,,,7
